---- Applied Jobs Data ---- created at: 20230308
---- Number | Job Title | Company | Location | Work Place | Posted Date | Applications | Result 

 Category: frontend, Location: Canada, Applying 
1 | Développeur applications | Amika - Aide et soins à domicile | Quebec, Canada | Remote | 1 day ago | 19 applicants | * 🥵 3 Pages, couldn't apply to this job! Extra info needed. Link: https://www.linkedin.com/jobs/view/3516498653
2 | Experienced iOS/Swift Developer (Fully Remote) | WISK.ai | Canada | Remote | 6 days ago |  | * 🥵 3 Pages, couldn't apply to this job! Extra info needed. Link: https://www.linkedin.com/jobs/view/3509306437
3 | Jira Developer | Jovo Technologies Ltd | Regina, SK | Hybrid | 1 day ago | 11 applicants | * 🥳 Just Applied to this job: https://www.linkedin.com/jobs/view/3511275095
4 | Firmware Engineer | DropLab Inc | Toronto, ON | On-site | 8 hours ago |  | * 🥳 Already applied! Job: https://www.linkedin.com/jobs/view/3511720750
5 | Full-Stack Developer |  |  |  |  |  | * 🥳 Already applied! Job: https://www.linkedin.com/jobs/view/3511767447

 Category: frontend, Location: Canada, Applying 
1 | Développeur applications | Amika - Aide et soins à domicile | Quebec, Canada | Remote | 1 day ago | 19 applicants | * 🥵 3 Pages, couldn't apply to this job! Extra info needed. Link: https://www.linkedin.com/jobs/view/3516498653
2 | Django Full-Stack Engineer | Metanode Labs Inc. | Canada | Remote | 8 minutes ago | 51 applicants | * 🥵 3 Pages, couldn't apply to this job! Extra info needed. Link: https://www.linkedin.com/jobs/view/3510698291
3 | Experienced iOS/Swift Developer (Fully Remote) | WISK.ai | Canada | Remote | 6 days ago |  | * 🥵 3 Pages, couldn't apply to this job! Extra info needed. Link: https://www.linkedin.com/jobs/view/3509306437
4 | Jira Developer | Jovo Technologies Ltd | Regina, SK | Hybrid | 1 day ago | 12 applicants | * 🥳 Already applied! Job: https://www.linkedin.com/jobs/view/3511275095
5 | Full-Stack Developer | Pluto Systems | Langley, BC | Hybrid | 2 hours ago | 13 applicants | * 🥵 3 Pages, couldn't apply to this job! Extra info needed. Link: https://www.linkedin.com/jobs/view/3511767447
6 | Firmware Engineer | DropLab Inc | Toronto, ON | On-site | 8 hours ago | 34 applicants | * 🥵 3 Pages, couldn't apply to this job! Extra info needed. Link: https://www.linkedin.com/jobs/view/3511720750

 Category: frontend, Location: Canada, Applying 
1 | Django Full-Stack Engineer | Metanode Labs Inc. | Canada | Remote | 16 minutes ago | 52 applicants | * 🥵 3 Pages, couldn't apply to this job! Extra info needed. Link: https://www.linkedin.com/jobs/view/3510698291
2 | Experienced iOS/Swift Developer (Fully Remote) | WISK.ai | Canada | Remote | 6 days ago |  | * 🥵 3 Pages, couldn't apply to this job! Extra info needed. Link: https://www.linkedin.com/jobs/view/3509306437
3 | Jira Developer | Jovo Technologies Ltd | Regina, SK | Hybrid | 1 day ago | 12 applicants | * 🥳 Already applied! Job: https://www.linkedin.com/jobs/view/3511275095
